id;name
Q82425; Brandenburg Gate
Q243; Tour Eiffel
Q130206; London Bridge
Q9141; Taj Mahal
Q12501; Chinese Wall
Q5776; Bethlehem
Q676203;Machu Picchu (Peru)
Q13217298;Giza Pyramids (Egypt)
Q47611;Ephesus (Turkey)
Q29317;Bagan Myanmar (Burma)
Q5758501;Capillas de Mármol (Chile)
Q43473;Angkor Wat (Cambodia)
Q86486;Great Blue Hole (Belize)
Q5788;Petra (Jordan)
Q175057;Fernando de Noronha (Brazil)
Q5753;Samarkand (Uzbekistan)
#;Glowworm Caves (New Zealand) - no photo
Q34221;Niagara falls (Canada)
Q39671;Stonehenge (UK)
Q76122;Salar de Uyuni (Bolivia)
Q3037;Kathmandu (Nepal)
Q129296;Santorini (Greece)
Q641;Venice (Italy)
Q107393;Island of Skye (Scotland)
#;Golden Ring (Russia) - not found
Q855235;Boracay (Philippines)
Q71229;Lhasa (Tibet)
Q42798;Borobudur, Java (Indonesia)
Q2227269;Las Lajas Sanctuary (Colombia)
Q38120;Kaieteur Falls (Guyana)
Q877391;Sidi Bou Said (Tunisia)
Q11812902;Serengeti National Park Tanzania
Q42053;Isfahan (Iran)
#;Ice Hotel Balea (Romania) - not found
Q2209873;Paro Taktsang Monastery (Bhutan)
Q1670879;San Blas Islands (Panama)
Q34600;Kyoto (Japan)
Q31487;Krakau (Poland)
#;Sheikh Zayed Mosque, Abu Dhabi (UAE) - no photo
#;Northern Lights (Finland) - no location
Q43278;Victoria Falls (Zambia)
Q190165;Luang Prabang (Laos)
Q3327;Lourdes (France)
Q1183213;Iceland Hot Springs (Iceland)
Q239477;Aran Islands and Cliffs of Moher (Ireland)
Q178663;Meknes (Morocco)
Q4152;Schloss Neuschwanstein (Germany)
Q9635778;Tunnel of Love in Klewan (Ukraine)
#;Sea of Stars on Vaadhoo Island (Maldives) - not found
Q44889;Hang Son Doong (Vietnam)
#;Equator Line (Uganda) - not found
Q181172;Tikal (Guatemala)
Q2231598;Charyn Canyon (Kasachstan)
#;Ouidah Voodoo Festival (Benin) - not found
Q3397149;The Shahara Bridge (Yemen)
Q687629;Batu Caves (Malaysia)
Q1405154;Tsingy de Bemaraha (Madagaskar)
Q1548443;Sultan Qaboos Grand Mosque (Muscat, Oman)
#;Frenchman’s Cove (Jamaica) - not found
#;Zagorje Region (Croatia) - not found
Q1722; Dubrovnik (Croatia)
Q54757;Visby (Sweden)
Q213360;Table Mountain (South Africa)
Q48435;Basílica i Temple Expiatori de la Sagrada Família (Spain)
Q36332;Iguazu Falls (Argentina)
Q642979;Lalibela (Ethiopia)
Q1223508;Ohrid (Macedonia)
Q683632;Djenne Mosque (Mali)
#;Banana islands (Sierra Leone) - not found
Q193989;Geirangerfjord (Norway)
Q305044;Paharpur (Bangladesh)
Q56064;Colonia del Sacramento (Uruguay)
Q189657;Kakadu National Park (Australia)
#;Yeojwa Stream (S. Korea) - not found
Q1420196;Fish River Canyon (Namibia)
Q2593920;Amarbayasgalant Monastery (Mongolia)
Q478282;Amsterdam (Holland)
Q1543972;Gravensteen Castle (Belgium)
#;Mozambique - not particular enough
#;St Hilarion (Cyprus) - no photo
#;The Dome of Light (Taiwan) - not found
Q318678;Los Roques (Venezuela)
Q3815738;Tipova Monastery (Moldova)
Q2802728;Verzasca Dam (Switzerland)
Q459629;Timgad (Algeria)
Q170244;Berat (Albania)
#Q19580382;Ikogosi Warm Spring Resort (Nigeria) - no location
Q228;Andorra
Q254117;Eisriesenwelt cave (Austria)
Q12132935;Tusheti National Park (Georgia)
#;Costa Rica - not particular enough
Q2707216;Bom Jesus do Monte (Portugal)
Q4842570;Bahia de Las Aguilas and Jaragua National Park (Dom. Republic)
Q178382;Jurmala (Latvia)
Q1474797;Fur Island (Denmark)
Q650872;Okavango Delta (Botswana)
#;Tami Islands (Papua New Guinea) - no photo
Q516668;Aggtelek National Park (Hungary)
Q1218;Jerusalem (Israel)
#;Island of Sal (Cape Verde)
Q70458;The Door to Hell (Turkmenistan)
# my stuff
Q10285;Colloseum (Italy)
Q9188;Empire State Building (USA)
Q1324340;Disneyland Orlando (USA)
Q118841;Grand Canyon (USA)
Q192017;Monument Valley (USA)
Q180402;Yosemite National Park
Q43590260;Bryce Canyon
Q956018;Plaza de España
Q80290;Forbidden City (China
Q39054;Leaning Tower of Pisa
Q269273;Spanish Riding School
Q12506;Hagia Sophia (Turkey)
Q79961;Christ the Redeemer (Brasil)
Q5859;Chichen Itza (Mexico)
Q724970;Wat Arun (Thailand)
Q131013;Acropolis (Greece)
Q41116;Red Square (Russia)
Q204871;Charles Bridge (Czech Republic)
Q214619;The Little Mermaid (Denmark)
Q20892;Le Mont Saint-Michel (France)
