city;longitude;latitude
Bangkok;100.5018;13.7563
Berlin;13.4049;52.5200
Buenos Aires;-58.3816;-34.6037
Chicago;-87.6298;41.8781
Delhi;77.1025;28.7041
Dubai;55.2708;25.2048
Istanbul;28.9784;41.0082
Johannesburg;28.0473;-26.2041
Kairo;31.2357;30.0444
Lagos;3.3792;6.5244
Lima;-77.0428;-12.0464
Los Angeles;-118.2437;34.0522
Mexico City;-99.1332;19.4326
Miami;-80.1918;25.7617
Moscow;37.6176;55.7558
Nairobi;36.8219;-1.2921
New York;-74.006;40.7128
Paris;2.3522;48.8566
Peking;116.4074;39.9042
Perth;115.8575;-31.9505
Rio de Janeiro;-43.1729;-22.9068
Sydney;151.2093;-33.8688
Teheran;51.389;35.6895
Tokio;139.6917;35.6895
