id;name;country;lon;lat;description;picture
Q82425;Brandenburger Tor;Q183;13.377722222222;52.516272222222;klassizistisches Triumphtor in Berlin;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Brandenburger_Tor_morgens.jpg/300px-Brandenburger_Tor_morgens.jpg
Q243;Eiffelturm;Q142;2.294479;48.858296;Eisenfachwerkturm in Paris;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Tour_Eiffel_Wikimedia_Commons.jpg/300px-Tour_Eiffel_Wikimedia_Commons.jpg
Q130206;London Bridge;Q145;-0.087777777777778;51.508055555556;Straßenbrücke über den Fluss Themse in London;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/London_Bridge_from_South_bank.jpg/300px-London_Bridge_from_South_bank.jpg
Q9141;Taj Mahal;Q668;78.042222222222;27.174166666667;Mausoleum in Indien;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/300px-Taj_Mahal_%28Edited%29.jpeg
Q12501;Chinesische Mauer;Q148;116.08333333333;40.416666666667;historische Grenzbefestigung in China;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/The_Great_Wall_of_China_at_Jinshanling.jpg/300px-The_Great_Wall_of_China_at_Jinshanling.jpg
Q5776;Bethlehem;Q219060;35.206111111111;31.704444444444;Stadt im Westjordanland;https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Bethlehem_collage.jpg/300px-Bethlehem_collage.jpg
Q676203;Machu Picchu;Q419;-72.545555555556;-13.163055555556;Ruinenstadt in Peru;https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/80_-_Machu_Picchu_-_Juin_2009_-_edit.jpg/300px-80_-_Machu_Picchu_-_Juin_2009_-_edit.jpg
Q13217298;Nekropole von Gizeh;Q79;31.133333;29.983333;archäologische Stätte auf dem Giza-Plateau;https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/All_Gizah_Pyramids.jpg/300px-All_Gizah_Pyramids.jpg
Q47611;Ephesos;Q43;27.348611;37.939722;antike Siedlung in der Türkei;https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ephesus_Celsus_Library_Fa%C3%A7ade.jpg/300px-Ephesus_Celsus_Library_Fa%C3%A7ade.jpg
Q29317;Bagan;Q836;94.86;21.1725;historische Königsstadt in Myanmar;https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Bagan%2C_Burma.jpg/300px-Bagan%2C_Burma.jpg
Q5758501;Catedral de Mármol;Q298;-71.7833;-46.45;Insel in Chile;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Catedraldemarmol.JPG/300px-Catedraldemarmol.JPG
Q43473;Angkor Wat;Q424;103.86666666667;13.4125;Tempelanlage in Kambodscha;https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Angkor_Wat.jpg/300px-Angkor_Wat.jpg
