id;name
Q173;Alabama
Q797;Alaska
Q816;Arizona
Q1612;Arkansas
Q99;California
Q1261;Colorado
Q779;Connecticut
Q1393;Delaware
Q812;Florida
Q1428;Georgia
Q782;Hawaii
Q1221;Idaho
Q1204;Illinois
Q1415;Indiana
Q1546;Iowa
Q1558;Kansas
Q1603;Kentucky
Q1588;Louisiana
Q724;Maine
Q1391;Maryland
Q771;Massachusetts
Q1166;Michigan
Q1527;Minnesota
Q1494;Mississippi
Q1581;Missouri
Q1212;Montana
Q1553;Nebraska
Q1227;Nevada
Q759;New Hampshire
Q1408;New Jersey
Q1522;New Mexico
Q1384;New York
Q1454;North Carolina
Q1207;North Dakota
Q1397;Ohio
Q1649;Oklahoma
Q824;Oregon
Q1400;Pennsylvania
Q1387;Rhode Island
Q1456;South Carolina
Q1211;South Dakota
Q1509;Tennessee
Q1439;Texas
Q829;Utah
Q16551;Vermont
Q1370;Virginia
Q1223;Washington
Q1371;West Virginia
Q1537;Wisconsin
Q1214;Wyoming
Q61;Washington, D.C.
